episode,agent_id,behaviour,count,decision_module
1,0,"IF,no berries,high health,medium society wellbeing,THEN,move",43,RuleBasedDecisionModule
1,0,"IF,low berries,high health,medium society wellbeing,THEN,eat",5,RuleBasedDecisionModule
1,0,"IF,low berries,high health,high society wellbeing,THEN,eat",6,RuleBasedDecisionModule
1,0,"IF,no berries,high health,high society wellbeing,THEN,move",16,RuleBasedDecisionModule
1,0,"IF,no berries,medium health,medium society wellbeing,THEN,move",1,RuleBasedDecisionModule
1,0,"IF,no berries,medium health,low society wellbeing,THEN,move",4,RuleBasedDecisionModule
1,1,"IF,no berries,high health,medium society wellbeing,THEN,move",39,RuleBasedDecisionModule
1,1,"IF,low berries,high health,medium society wellbeing,THEN,eat",10,RuleBasedDecisionModule
1,1,"IF,low berries,high health,high society wellbeing,THEN,eat",5,RuleBasedDecisionModule
1,1,"IF,no berries,high health,high society wellbeing,THEN,move",17,RuleBasedDecisionModule
1,1,"IF,no berries,high health,low society wellbeing,THEN,move",4,RuleBasedDecisionModule
1,2,"IF,no berries,high health,medium society wellbeing,THEN,move",36,RuleBasedDecisionModule
1,2,"IF,low berries,high health,medium society wellbeing,THEN,eat",10,RuleBasedDecisionModule
1,2,"IF,no berries,high health,high society wellbeing,THEN,move",20,RuleBasedDecisionModule
1,2,"IF,low berries,high health,high society wellbeing,THEN,eat",4,RuleBasedDecisionModule
1,2,"IF,no berries,high health,low society wellbeing,THEN,move",4,RuleBasedDecisionModule
1,2,"IF,low berries,high health,low society wellbeing,THEN,eat",1,RuleBasedDecisionModule
1,3,"IF,no berries,high health,medium society wellbeing,THEN,move",41,RuleBasedDecisionModule
1,3,"IF,low berries,high health,medium society wellbeing,THEN,eat",7,RuleBasedDecisionModule
1,3,"IF,low berries,high health,high society wellbeing,THEN,eat",6,RuleBasedDecisionModule
1,3,"IF,no berries,high health,high society wellbeing,THEN,move",16,RuleBasedDecisionModule
1,3,"IF,no berries,high health,low society wellbeing,THEN,move",5,RuleBasedDecisionModule
