episode,agent_id,behaviour,count,decision_module
1,0,"IF,no berries,high health,medium society wellbeing,THEN,move",18,LLMDecisionModule
1,0,"IF,low berries,high health,medium society wellbeing,THEN,eat",2,LLMDecisionModule
1,0,"IF,low berries,high health,medium society wellbeing,THEN,throw",2,LLMDecisionModule
1,0,"IF,low berries,high health,medium society wellbeing,THEN,move",1,LLMDecisionModule
1,0,"IF,medium berries,high health,medium society wellbeing,THEN,eat",1,LLMDecisionModule
1,0,"IF,low berries,high health,high society wellbeing,THEN,eat",9,LLMDecisionModule
1,0,"IF,no berries,high health,high society wellbeing,THEN,move",35,LLMDecisionModule
1,0,"IF,low berries,high health,high society wellbeing,THEN,move",3,LLMDecisionModule
1,0,"IF,medium berries,high health,high society wellbeing,THEN,eat",2,LLMDecisionModule
1,0,"IF,medium berries,high health,high society wellbeing,THEN,throw",1,LLMDecisionModule
1,0,"IF,medium berries,high health,high society wellbeing,THEN,move",1,LLMDecisionModule
1,1,"IF,no berries,high health,medium society wellbeing,THEN,move",22,RuleBasedDecisionModule
1,1,"IF,low berries,high health,medium society wellbeing,THEN,eat",3,RuleBasedDecisionModule
1,1,"IF,low berries,high health,high society wellbeing,THEN,eat",10,RuleBasedDecisionModule
1,1,"IF,no berries,high health,high society wellbeing,THEN,move",40,RuleBasedDecisionModule
1,2,"IF,no berries,high health,medium society wellbeing,THEN,move",21,RuleBasedDecisionModule
1,2,"IF,low berries,high health,medium society wellbeing,THEN,eat",6,RuleBasedDecisionModule
1,2,"IF,low berries,high health,high society wellbeing,THEN,eat",15,RuleBasedDecisionModule
1,2,"IF,no berries,high health,high society wellbeing,THEN,move",33,RuleBasedDecisionModule
1,3,"IF,no berries,high health,medium society wellbeing,THEN,move",20,RuleBasedDecisionModule
1,3,"IF,low berries,high health,medium society wellbeing,THEN,eat",5,RuleBasedDecisionModule
1,3,"IF,low berries,high health,high society wellbeing,THEN,eat",13,RuleBasedDecisionModule
1,3,"IF,no berries,high health,high society wellbeing,THEN,move",37,RuleBasedDecisionModule
