episode,agent_id,behaviour,count,decision_module
1,0,"IF,no berries,high health,medium society wellbeing,THEN,move",40,LLMDecisionModule
1,0,"IF,low berries,high health,medium society wellbeing,THEN,eat",7,LLMDecisionModule
1,0,"IF,low berries,high health,medium society wellbeing,THEN,move",1,LLMDecisionModule
1,0,"IF,medium berries,high health,medium society wellbeing,THEN,eat",1,LLMDecisionModule
1,0,"IF,no berries,high health,high society wellbeing,THEN,move",18,LLMDecisionModule
1,0,"IF,low berries,high health,high society wellbeing,THEN,eat",4,LLMDecisionModule
1,0,"IF,no berries,high health,low society wellbeing,THEN,move",4,LLMDecisionModule
1,1,"IF,no berries,high health,medium society wellbeing,THEN,move",41,RuleBasedDecisionModule
1,1,"IF,low berries,high health,medium society wellbeing,THEN,eat",8,RuleBasedDecisionModule
1,1,"IF,low berries,high health,high society wellbeing,THEN,eat",6,RuleBasedDecisionModule
1,1,"IF,no berries,high health,high society wellbeing,THEN,move",16,RuleBasedDecisionModule
1,1,"IF,no berries,high health,low society wellbeing,THEN,move",3,RuleBasedDecisionModule
1,1,"IF,low berries,high health,low society wellbeing,THEN,eat",1,RuleBasedDecisionModule
1,2,"IF,no berries,high health,medium society wellbeing,THEN,move",39,RuleBasedDecisionModule
1,2,"IF,low berries,high health,medium society wellbeing,THEN,eat",10,RuleBasedDecisionModule
1,2,"IF,low berries,high health,high society wellbeing,THEN,eat",4,RuleBasedDecisionModule
1,2,"IF,no berries,high health,high society wellbeing,THEN,move",17,RuleBasedDecisionModule
1,2,"IF,no berries,high health,low society wellbeing,THEN,move",4,RuleBasedDecisionModule
1,2,"IF,low berries,high health,low society wellbeing,THEN,eat",1,RuleBasedDecisionModule
1,3,"IF,no berries,high health,medium society wellbeing,THEN,move",40,RuleBasedDecisionModule
1,3,"IF,low berries,high health,medium society wellbeing,THEN,eat",8,RuleBasedDecisionModule
1,3,"IF,no berries,high health,high society wellbeing,THEN,move",19,RuleBasedDecisionModule
1,3,"IF,low berries,high health,high society wellbeing,THEN,eat",3,RuleBasedDecisionModule
1,3,"IF,no berries,medium health,medium society wellbeing,THEN,move",1,RuleBasedDecisionModule
1,3,"IF,no berries,medium health,low society wellbeing,THEN,move",4,RuleBasedDecisionModule
