episode,agent_id,behaviour,count,decision_module
1,0,"IF,no berries,high health,medium society wellbeing,THEN,move",9,LLMDecisionModule
1,0,"IF,low berries,high health,medium society wellbeing,THEN,eat",4,LLMDecisionModule
1,0,"IF,no berries,high health,low society wellbeing,THEN,move",42,LLMDecisionModule
1,0,"IF,low berries,high health,low society wellbeing,THEN,move",2,LLMDecisionModule
1,0,"IF,medium berries,high health,low society wellbeing,THEN,eat",1,LLMDecisionModule
1,0,"IF,low berries,high health,low society wellbeing,THEN,eat",17,LLMDecisionModule
1,1,"IF,no berries,high health,medium society wellbeing,THEN,move",1,RuleBasedDecisionModule
1,1,"IF,low berries,high health,medium society wellbeing,THEN,throw",4,RuleBasedDecisionModule
1,1,"IF,low berries,medium health,medium society wellbeing,THEN,throw",4,RuleBasedDecisionModule
1,1,"IF,low berries,medium health,low society wellbeing,THEN,throw",28,RuleBasedDecisionModule
1,1,"IF,no berries,low health,low society wellbeing,THEN,move",8,RuleBasedDecisionModule
1,1,"IF,low berries,low health,low society wellbeing,THEN,eat",10,RuleBasedDecisionModule
1,1,"IF,no berries,medium health,low society wellbeing,THEN,move",17,RuleBasedDecisionModule
1,1,"IF,medium berries,medium health,low society wellbeing,THEN,throw",1,RuleBasedDecisionModule
1,1,"IF,low berries,medium health,medium society wellbeing,THEN,move",1,RuleBasedDecisionModule
1,1,"IF,medium berries,low health,medium society wellbeing,THEN,eat",1,RuleBasedDecisionModule
1,2,"IF,no berries,high health,medium society wellbeing,THEN,move",1,RuleBasedDecisionModule
1,2,"IF,low berries,high health,medium society wellbeing,THEN,throw",4,RuleBasedDecisionModule
1,2,"IF,low berries,medium health,medium society wellbeing,THEN,throw",4,RuleBasedDecisionModule
1,2,"IF,low berries,medium health,low society wellbeing,THEN,throw",28,RuleBasedDecisionModule
1,2,"IF,no berries,medium health,low society wellbeing,THEN,move",19,RuleBasedDecisionModule
1,2,"IF,low berries,low health,low society wellbeing,THEN,eat",8,RuleBasedDecisionModule
1,2,"IF,low berries,low health,medium society wellbeing,THEN,eat",3,RuleBasedDecisionModule
1,2,"IF,low berries,medium health,medium society wellbeing,THEN,move",1,RuleBasedDecisionModule
1,2,"IF,medium berries,medium health,low society wellbeing,THEN,throw",1,RuleBasedDecisionModule
1,2,"IF,medium berries,medium health,medium society wellbeing,THEN,throw",1,RuleBasedDecisionModule
1,2,"IF,no berries,low health,low society wellbeing,THEN,move",5,RuleBasedDecisionModule
1,3,"IF,no berries,high health,medium society wellbeing,THEN,move",2,RuleBasedDecisionModule
1,3,"IF,low berries,high health,medium society wellbeing,THEN,throw",3,RuleBasedDecisionModule
1,3,"IF,low berries,medium health,medium society wellbeing,THEN,throw",1,RuleBasedDecisionModule
1,3,"IF,low berries,medium health,low society wellbeing,THEN,throw",26,RuleBasedDecisionModule
1,3,"IF,low berries,low health,low society wellbeing,THEN,eat",9,RuleBasedDecisionModule
1,3,"IF,no berries,medium health,low society wellbeing,THEN,move",24,RuleBasedDecisionModule
1,3,"IF,low berries,medium health,medium society wellbeing,THEN,move",3,RuleBasedDecisionModule
1,3,"IF,medium berries,low health,medium society wellbeing,THEN,eat",1,RuleBasedDecisionModule
1,3,"IF,medium berries,medium health,low society wellbeing,THEN,throw",3,RuleBasedDecisionModule
1,3,"IF,medium berries,low health,low society wellbeing,THEN,eat",1,RuleBasedDecisionModule
1,3,"IF,no berries,low health,low society wellbeing,THEN,move",2,RuleBasedDecisionModule
